job_id,experiment,plant_group,plant_id,plant_seed,manifest_id,trajectory,regime,config_group,config_value,control_points,method,compensation_gain,smoothing_window,learning_rate,scenario_id,measurement_noise_std_mm,extra_delay_steps,mismatch_scale,initial_task_score,final_task_score,task_auc_normalized,final_task_ratio,initial_violation_rate,final_violation_rate,initial_global_rmse,final_global_rmse,final_global_ratio,trial_task_scores,selection_history,accepted_history,rejected_trials,final_trust_radius_mm,constraint_violation,all_updates_succeeded,finite_result,raw_estimated_lag_history,total_estimated_lag_history,nominal_estimated_lag_history,applied_lag_history,median_estimated_axis_lag_steps,lag_absolute_error_steps,median_peak_correlation,elapsed_s
05_virtual_plant_family|C01_max_delay|ellipse--demand_conflict|n0_d0_m0|no_residual_alignment,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,ellipse--demand_conflict,ellipse,demand_conflict,method,no_residual_alignment,12,no_residual_alignment,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,6.264093841148168,0.43899900256987134,0.34959589679157965,0.0700818049190345,0.6666666666666666,0.0,1.5917848722592045,0.07619968428361283,0.04787059207031122,"[6.264093841148168, 2.9607356945199967, 1.6077778529705324, 0.8395460465816684, 0.43899900256987134]","[[3, 4], [1, 4], [1, 3], [1, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[4, 7], [4, 7], [4, 7], [4, 7], [4, 7]]","[[6, 9], [6, 9], [6, 9], [6, 9], [6, 9]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[4.0, 7.0]",0.5,0.9970117603877853,0.5042791669999929
05_virtual_plant_family|C01_max_delay|ellipse--demand_conflict|n0_d0_m0|raw_top2,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,ellipse--demand_conflict,ellipse,demand_conflict,method,raw_top2,12,raw_top2,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,6.264093841148168,0.35518187665642637,0.32346423615885384,0.05670123814609454,0.6666666666666666,0.0,1.5917848722592045,0.05288991463071517,0.033226798138651134,"[6.264093841148168, 2.66210615168481, 1.3874791371398585, 0.7456181704905259, 0.35518187665642637]","[[3, 4], [3, 4], [3, 4], [1, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[4, 7], [4, 7], [4, 7], [4, 7], [4, 7]]","[[6, 9], [6, 9], [6, 9], [6, 9], [6, 9]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75]]","[4.0, 7.0]",0.5,0.9970022228351758,0.5056357500000104
05_virtual_plant_family|C01_max_delay|ellipse--demand_conflict|n0_d0_m0|uniform_full_trajectory,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,ellipse--demand_conflict,ellipse,demand_conflict,method,uniform_full_trajectory,12,uniform_full_trajectory,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,6.264093841148168,0.27302719610341736,0.30817694205199925,0.0435860641662056,0.6666666666666666,0.0,1.5917848722592045,0.045510105311584725,0.02859061303113949,"[6.264093841148168, 2.590369163281541, 1.2619599291759354, 0.600907527683949, 0.27302719610341736]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[4, 7], [4, 7], [4, 7], [4, 7], [4, 7]]","[[6, 9], [6, 9], [6, 9], [6, 9], [6, 9]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75]]","[4.0, 7.0]",0.5,0.9970030652100355,0.49757191700001613
05_virtual_plant_family|C01_max_delay|ellipse--demand_conflict|n0_d0_m0|v11_full,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,ellipse--demand_conflict,ellipse,demand_conflict,method,v11_full,12,v11_full,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,6.264093841148168,0.2964940559157097,0.3127130136267287,0.047332313888414586,0.6666666666666666,0.0,1.5917848722592045,0.05222637423556341,0.0328099450784697,"[6.264093841148168, 2.66210615168481, 1.2794033746126074, 0.6136511759949405, 0.2964940559157097]","[[3, 4], [1, 4], [1, 4], [1, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[4, 7], [4, 7], [4, 7], [4, 7], [4, 7]]","[[6, 9], [6, 9], [6, 9], [6, 9], [6, 9]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75]]","[4.0, 7.0]",0.5,0.9970040648532498,0.517721583000025
05_virtual_plant_family|C01_max_delay|ellipse--demand_conflict|n0_d1_m0|no_residual_alignment,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,ellipse--demand_conflict,ellipse,demand_conflict,method,no_residual_alignment,12,no_residual_alignment,0.25,5,0.65,n0_d1_m0,0.0,4,1.0,11.140783332781723,2.114212837584918,0.4273440584707073,0.18977236828256527,0.8333333333333334,0.6666666666666666,3.1623341950139636,0.48619505012090375,0.1537456259011097,"[11.140783332781723, 5.984526628087704, 3.733357244301109, 2.698408298322881, 2.114212837584918]","[[3, 4], [3, 4], [1, 3], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[10, 13], [10, 13], [10, 13], [10, 13], [10, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[8.0, 11.0]",0.5,0.997071940068147,1.4448582500000384
05_virtual_plant_family|C01_max_delay|ellipse--demand_conflict|n0_d1_m0|raw_top2,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,ellipse--demand_conflict,ellipse,demand_conflict,method,raw_top2,12,raw_top2,0.25,5,0.65,n0_d1_m0,0.0,4,1.0,11.140783332781723,2.9990153975425855,0.4781240356614254,0.26919250720171456,0.8333333333333334,0.6666666666666666,3.1623341950139636,0.6958716406365256,0.2200500003237175,"[11.140783332781723, 6.412182188674013, 4.356653012418113, 3.4679705837422867, 2.9990153975425855]","[[3, 4], [3, 4], [3, 4], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[10, 13], [10, 13], [10, 13], [10, 13], [10, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75]]","[8.0, 11.0]",0.5,0.9970702258115423,1.4098863329999176
05_virtual_plant_family|C01_max_delay|ellipse--demand_conflict|n0_d1_m0|uniform_full_trajectory,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,ellipse--demand_conflict,ellipse,demand_conflict,method,uniform_full_trajectory,12,uniform_full_trajectory,0.25,5,0.65,n0_d1_m0,0.0,4,1.0,11.140783332781723,3.0549976940469774,0.48432594500506454,0.2742174946583563,0.8333333333333334,0.6666666666666666,3.1623341950139636,0.6741393199677995,0.2131777599694275,"[11.140783332781723, 6.443685092070103, 4.4853252694217955, 3.5561807880784744, 3.0549976940469774]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[10, 13], [10, 13], [10, 13], [10, 13], [10, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75]]","[8.0, 11.0]",0.5,0.9970424291106008,1.3735183339999821
05_virtual_plant_family|C01_max_delay|ellipse--demand_conflict|n0_d1_m0|v11_full,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,ellipse--demand_conflict,ellipse,demand_conflict,method,v11_full,12,v11_full,0.25,5,0.65,n0_d1_m0,0.0,4,1.0,11.140783332781723,2.9990153975425855,0.4781240356614254,0.26919250720171456,0.8333333333333334,0.6666666666666666,3.1623341950139636,0.6958716406365256,0.2200500003237175,"[11.140783332781723, 6.412182188674013, 4.356653012418113, 3.4679705837422867, 2.9990153975425855]","[[3, 4], [3, 4], [3, 4], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[10, 13], [10, 13], [10, 13], [10, 13], [10, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75]]","[8.0, 11.0]",0.5,0.9970702258115423,1.4334035409999615
05_virtual_plant_family|C01_max_delay|ellipse--demand_conflict|n1_d1_m1|no_residual_alignment,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,ellipse--demand_conflict,ellipse,demand_conflict,method,no_residual_alignment,12,no_residual_alignment,0.25,5,0.65,n1_d1_m1,0.05,4,1.7,11.026596776551319,1.928650742060622,0.4249058145304623,0.17490897519368867,0.8333333333333334,0.6666666666666666,3.0668311411492715,0.4145300632671026,0.1351655973832849,"[11.026596776551319, 5.7079852426858295, 3.8217402660946522, 2.733711071271579, 1.928650742060622]","[[3, 4], [3, 4], [1, 3], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[10, 13], [10, 13], [10, 13], [10, 13], [10, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[8.0, 11.0]",0.5,0.9962112902027911,1.5651015830000006
05_virtual_plant_family|C01_max_delay|ellipse--demand_conflict|n1_d1_m1|raw_top2,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,ellipse--demand_conflict,ellipse,demand_conflict,method,raw_top2,12,raw_top2,0.25,5,0.65,n1_d1_m1,0.05,4,1.7,11.026596776551319,2.3494500453398595,0.44154697978314006,0.21307118533037298,0.8333333333333334,0.6666666666666666,3.0668311411492715,0.5334907902608702,0.17395505839977501,"[11.026596776551319, 6.011373688702484, 3.885701285261671, 2.889943630981225, 2.3494500453398595]","[[3, 4], [3, 4], [3, 4], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[10, 13], [10, 13], [10, 13], [10, 13], [10, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75]]","[8.0, 11.0]",0.5,0.9962508624646452,1.6316678330000514
05_virtual_plant_family|C01_max_delay|ellipse--demand_conflict|n1_d1_m1|uniform_full_trajectory,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,ellipse--demand_conflict,ellipse,demand_conflict,method,uniform_full_trajectory,12,uniform_full_trajectory,0.25,5,0.65,n1_d1_m1,0.05,4,1.7,11.026596776551319,2.5236283394343184,0.4534975441485207,0.2288673822553262,0.8333333333333334,0.6666666666666666,3.0668311411492715,0.5477780556540874,0.1786136994320502,"[11.026596776551319, 6.151370498167372, 4.033045951621907, 3.0426092261459736, 2.5236283394343184]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[10, 13], [10, 13], [10, 13], [10, 13], [10, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75]]","[8.0, 11.0]",0.5,0.9962362298589151,1.4663614160000407
05_virtual_plant_family|C01_max_delay|ellipse--demand_conflict|n1_d1_m1|v11_full,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,ellipse--demand_conflict,ellipse,demand_conflict,method,v11_full,12,v11_full,0.25,5,0.65,n1_d1_m1,0.05,4,1.7,11.026596776551319,2.3494500453398595,0.44154697978314006,0.21307118533037298,0.8333333333333334,0.6666666666666666,3.0668311411492715,0.5334907902608702,0.17395505839977501,"[11.026596776551319, 6.011373688702484, 3.885701285261671, 2.889943630981225, 2.3494500453398595]","[[3, 4], [3, 4], [3, 4], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[10, 13], [10, 13], [10, 13], [10, 13], [10, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75]]","[8.0, 11.0]",0.5,0.9962508624646452,1.6325653330000023
05_virtual_plant_family|C01_max_delay|figure_eight--demand_conflict|n0_d0_m0|no_residual_alignment,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,figure_eight--demand_conflict,figure_eight,demand_conflict,method,no_residual_alignment,12,no_residual_alignment,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,10.298570678330053,5.264611849642329,0.6331248189602716,0.511198302568333,1.0,1.0,2.953162377340563,1.5710382761442587,0.5319850639432294,"[10.298570678330053, 7.320087743386762, 5.264611849642329, 5.564758568583327, 5.564758568583327]","[[2, 4], [3, 4], [2, 4], [2, 4]]","[true, true, true, false, false]",2,1.0,0,1,1,"[[4, 7], [4, 7], [4, 7], [4, 7], [4, 7]]","[[6, 9], [6, 9], [6, 9], [6, 9], [6, 9]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[4.0, 7.0]",0.5,0.9953617828820819,1.0231365830000527
05_virtual_plant_family|C01_max_delay|figure_eight--demand_conflict|n0_d0_m0|raw_top2,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,figure_eight--demand_conflict,figure_eight,demand_conflict,method,raw_top2,12,raw_top2,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,10.298570678330053,4.883525702854639,0.5895557490163915,0.47419451255798134,1.0,0.8333333333333334,2.953162377340563,1.3782583025251853,0.4667058991068281,"[10.298570678330053, 6.430494346678669, 5.292803568730973, 4.9719800942424985, 4.883525702854639]","[[2, 4], [2, 4], [2, 4], [2, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[4, 7], [4, 7], [4, 7], [4, 7], [4, 7]]","[[6, 9], [6, 9], [6, 9], [6, 9], [6, 9]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75]]","[4.0, 7.0]",0.5,0.9952821941993639,1.0300144589999718
05_virtual_plant_family|C01_max_delay|figure_eight--demand_conflict|n0_d0_m0|uniform_full_trajectory,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,figure_eight--demand_conflict,figure_eight,demand_conflict,method,uniform_full_trajectory,12,uniform_full_trajectory,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,10.298570678330053,4.699357568564132,0.5785347937791033,0.45631162957908133,1.0,0.6666666666666666,2.953162377340563,1.2114971621549306,0.4102372329576847,"[10.298570678330053, 6.415327607374568, 5.131251174163707, 4.786782949443426, 4.699357568564132]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[4, 7], [4, 7], [4, 7], [4, 7], [4, 7]]","[[6, 9], [6, 9], [6, 9], [6, 9], [6, 9]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75]]","[4.0, 7.0]",0.5,0.9954137286782054,1.1059617079999953
05_virtual_plant_family|C01_max_delay|figure_eight--demand_conflict|n0_d0_m0|v11_full,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,figure_eight--demand_conflict,figure_eight,demand_conflict,method,v11_full,12,v11_full,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,10.298570678330053,4.883525702854639,0.5895557490163915,0.47419451255798134,1.0,0.8333333333333334,2.953162377340563,1.3782583025251853,0.4667058991068281,"[10.298570678330053, 6.430494346678669, 5.292803568730973, 4.9719800942424985, 4.883525702854639]","[[2, 4], [2, 4], [2, 4], [2, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[4, 7], [4, 7], [4, 7], [4, 7], [4, 7]]","[[6, 9], [6, 9], [6, 9], [6, 9], [6, 9]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75]]","[4.0, 7.0]",0.5,0.9952821941993639,1.0439070419999439
05_virtual_plant_family|C01_max_delay|figure_eight--demand_conflict|n0_d1_m0|no_residual_alignment,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,figure_eight--demand_conflict,figure_eight,demand_conflict,method,no_residual_alignment,12,no_residual_alignment,0.25,5,0.65,n0_d1_m0,0.0,4,1.0,19.36689880978567,15.584091446547998,0.8488109702601868,0.804676659882877,1.0,1.0,5.740977453442569,4.619742795992764,0.8046962095666378,"[19.36689880978567, 16.631000898524338, 15.950925440465568, 15.697923211503385, 15.584091446547998]","[[2, 4], [2, 4], [2, 4], [2, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[10, 13], [10, 13], [10, 13], [10, 13], [10, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[8.0, 11.0]",0.5,0.995102138710602,1.3277853749999622
05_virtual_plant_family|C01_max_delay|figure_eight--demand_conflict|n0_d1_m0|raw_top2,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,figure_eight--demand_conflict,figure_eight,demand_conflict,method,raw_top2,12,raw_top2,0.25,5,0.65,n0_d1_m0,0.0,4,1.0,19.36689880978567,14.714726270502966,0.8152735454710971,0.7597874298319738,1.0,1.0,5.740977453442569,4.210775555523614,0.7334596921293652,"[19.36689880978567, 16.216294271914943, 15.099209677720062, 14.80096453995641, 14.714726270502966]","[[2, 4], [2, 4], [2, 4], [2, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[10, 13], [10, 13], [10, 13], [10, 13], [10, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75]]","[8.0, 11.0]",0.5,0.9951967629874559,1.304393291999986
05_virtual_plant_family|C01_max_delay|figure_eight--demand_conflict|n0_d1_m0|uniform_full_trajectory,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,figure_eight--demand_conflict,figure_eight,demand_conflict,method,uniform_full_trajectory,12,uniform_full_trajectory,0.25,5,0.65,n0_d1_m0,0.0,4,1.0,19.36689880978567,15.103694797896953,0.8309914036330911,0.7798716225163208,1.0,1.0,5.740977453442569,4.292418488909748,0.7476807780068541,"[19.36689880978567, 16.436654722640462, 15.50306082776817, 15.199893349605397, 15.103694797896953]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[10, 13], [10, 13], [10, 13], [10, 13], [10, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75]]","[8.0, 11.0]",0.5,0.9952803454203505,1.416495583000028
05_virtual_plant_family|C01_max_delay|figure_eight--demand_conflict|n0_d1_m0|v11_full,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,figure_eight--demand_conflict,figure_eight,demand_conflict,method,v11_full,12,v11_full,0.25,5,0.65,n0_d1_m0,0.0,4,1.0,19.36689880978567,14.714726270502966,0.8152735454710971,0.7597874298319738,1.0,1.0,5.740977453442569,4.210775555523614,0.7334596921293652,"[19.36689880978567, 16.216294271914943, 15.099209677720062, 14.80096453995641, 14.714726270502966]","[[2, 4], [2, 4], [2, 4], [2, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[10, 13], [10, 13], [10, 13], [10, 13], [10, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75]]","[8.0, 11.0]",0.5,0.9951967629874559,1.320832084000017
05_virtual_plant_family|C01_max_delay|figure_eight--demand_conflict|n1_d1_m1|no_residual_alignment,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,figure_eight--demand_conflict,figure_eight,demand_conflict,method,no_residual_alignment,12,no_residual_alignment,0.25,5,0.65,n1_d1_m1,0.05,4,1.7,19.22833261791575,15.5460209071868,0.8517082209112392,0.8084955266845133,1.0,1.0,5.663206691630511,4.549516264153489,0.8033463215949874,"[19.22833261791575, 16.59583928482755, 15.890736253997673, 15.633963559001797, 15.5460209071868]","[[2, 4], [2, 4], [2, 4], [2, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[10, 13], [10, 13], [10, 13], [10, 13], [10, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[8.0, 11.0]",0.5,0.9933845972139155,1.000142708999988
05_virtual_plant_family|C01_max_delay|figure_eight--demand_conflict|n1_d1_m1|raw_top2,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,figure_eight--demand_conflict,figure_eight,demand_conflict,method,raw_top2,12,raw_top2,0.25,5,0.65,n1_d1_m1,0.05,4,1.7,19.22833261791575,14.706303722819923,0.8164650937585898,0.7648246998347383,1.0,1.0,5.663206691630511,4.198328644860491,0.7413341722217343,"[19.22833261791575, 16.080510027949714, 14.985166507934785, 14.7640548685794, 14.706303722819923]","[[2, 4], [2, 4], [2, 4], [2, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[10, 13], [10, 13], [10, 13], [10, 13], [10, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75]]","[8.0, 11.0]",0.5,0.9934157842081478,1.0698784579999483
05_virtual_plant_family|C01_max_delay|figure_eight--demand_conflict|n1_d1_m1|uniform_full_trajectory,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,figure_eight--demand_conflict,figure_eight,demand_conflict,method,uniform_full_trajectory,12,uniform_full_trajectory,0.25,5,0.65,n1_d1_m1,0.05,4,1.7,19.22833261791575,15.002859067966916,0.8314589396356225,0.780247531914868,1.0,1.0,5.663206691630511,4.29145821428813,0.7577788429707769,"[19.22833261791575, 16.336842948793617, 15.40180201172494, 15.096035394353246, 15.002859067966916]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[10, 13], [10, 13], [10, 13], [10, 13], [10, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75]]","[8.0, 11.0]",0.5,0.9935816992415498,0.9315822080000089
05_virtual_plant_family|C01_max_delay|figure_eight--demand_conflict|n1_d1_m1|v11_full,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,figure_eight--demand_conflict,figure_eight,demand_conflict,method,v11_full,12,v11_full,0.25,5,0.65,n1_d1_m1,0.05,4,1.7,19.22833261791575,14.706303722819923,0.8164650937585898,0.7648246998347383,1.0,1.0,5.663206691630511,4.198328644860491,0.7413341722217343,"[19.22833261791575, 16.080510027949714, 14.985166507934785, 14.7640548685794, 14.706303722819923]","[[2, 4], [2, 4], [2, 4], [2, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[10, 13], [10, 13], [10, 13], [10, 13], [10, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75]]","[8.0, 11.0]",0.5,0.9934157842081478,1.0571306660000346
05_virtual_plant_family|C01_max_delay|harmonic_loop--demand_conflict|n0_d0_m0|no_residual_alignment,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,method,no_residual_alignment,12,no_residual_alignment,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,7.34611311796391,3.197660068493138,0.5958069615251543,0.4352859828245362,0.8333333333333334,0.8333333333333334,1.8838538748023246,1.1144340271917503,0.5915713750933519,"[7.34611311796391, 4.697871611291738, 4.226145032040476, 3.3115581067758804, 3.197660068493138]","[[2, 3], [2, 3], [3, 4], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[4, 7], [4, 7], [4, 7], [4, 7], [4, 7]]","[[6, 9], [6, 9], [6, 9], [6, 9], [6, 9]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[4.0, 7.0]",0.5,0.9961158593999844,0.7723116249999862
05_virtual_plant_family|C01_max_delay|harmonic_loop--demand_conflict|n0_d0_m0|raw_top2,05_virtual_plant_family,edge_challenge,C01_max_delay,-1,harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,method,raw_top2,12,raw_top2,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,7.34611311796391,2.7148229294083714,0.5814407685158285,0.36955909687391625,0.8333333333333334,0.8333333333333334,1.8838538748023246,0.960283938222344,0.5097443867949195,"[7.34611311796391, 4.473599439447291, 4.377440252862453, 3.203810911656695, 2.7148229294083714]","[[2, 3], [2, 3], [3, 4], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[4, 7], [4, 7], [4, 7], [4, 7], [4, 7]]","[[6, 9], [6, 9], [6, 9], [6, 9], [6, 9]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75]]","[4.0, 7.0]",0.5,0.9961486478802899,0.7649508750000109
